State,State ANSI,County,County ANSI,Zip Code,Data Item,Value
ARKANSAS,5,LAWRENCE,75,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,MISSISSIPPI,93,,SORGHUM - OPERATIONS WITH SALES,7
ARKANSAS,5,MISSISSIPPI,93,,"SORGHUM - SALES, MEASURED IN $","140,000"
ARKANSAS,5,POINSETT,111,,SORGHUM - OPERATIONS WITH SALES,3
ARKANSAS,5,POINSETT,111,,"SORGHUM - SALES, MEASURED IN $","285,000"
ARKANSAS,5,RANDOLPH,121,,SORGHUM - OPERATIONS WITH SALES,2
ARKANSAS,5,RANDOLPH,121,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,WHITE,145,,SORGHUM - OPERATIONS WITH SALES,1
ARKANSAS,5,WHITE,145,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,MADISON,87,,SORGHUM - OPERATIONS WITH SALES,2
ARKANSAS,5,MADISON,87,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,WASHINGTON,143,,SORGHUM - OPERATIONS WITH SALES,2
ARKANSAS,5,WASHINGTON,143,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,JEFFERSON,69,,SORGHUM - OPERATIONS WITH SALES,1
ARKANSAS,5,JEFFERSON,69,,"SORGHUM - SALES, MEASURED IN $",0
CALIFORNIA,6,COLUSA,11,,SORGHUM - OPERATIONS WITH SALES,1
CALIFORNIA,6,COLUSA,11,,"SORGHUM - SALES, MEASURED IN $",0
CALIFORNIA,6,GLENN,21,,SORGHUM - OPERATIONS WITH SALES,1
CALIFORNIA,6,GLENN,21,,"SORGHUM - SALES, MEASURED IN $",0
CALIFORNIA,6,SACRAMENTO,67,,SORGHUM - OPERATIONS WITH SALES,1
CALIFORNIA,6,SACRAMENTO,67,,"SORGHUM - SALES, MEASURED IN $",0
CALIFORNIA,6,SOLANO,95,,SORGHUM - OPERATIONS WITH SALES,2
CALIFORNIA,6,SOLANO,95,,"SORGHUM - SALES, MEASURED IN $",0
CALIFORNIA,6,SUTTER,101,,SORGHUM - OPERATIONS WITH SALES,1
CALIFORNIA,6,SUTTER,101,,"SORGHUM - SALES, MEASURED IN $",0
CALIFORNIA,6,YOLO,113,,SORGHUM - OPERATIONS WITH SALES,5
CALIFORNIA,6,YOLO,113,,"SORGHUM - SALES, MEASURED IN $","343,000"
CALIFORNIA,6,FRESNO,19,,SORGHUM - OPERATIONS WITH SALES,5
CALIFORNIA,6,FRESNO,19,,"SORGHUM - SALES, MEASURED IN $",0
CALIFORNIA,6,KERN,29,,SORGHUM - OPERATIONS WITH SALES,7
CALIFORNIA,6,KERN,29,,"SORGHUM - SALES, MEASURED IN $","1,182,000"
CALIFORNIA,6,KINGS,31,,SORGHUM - OPERATIONS WITH SALES,24
CALIFORNIA,6,KINGS,31,,"SORGHUM - SALES, MEASURED IN $",0
CALIFORNIA,6,MADERA,39,,SORGHUM - OPERATIONS WITH SALES,1
CALIFORNIA,6,MADERA,39,,"SORGHUM - SALES, MEASURED IN $",0
CALIFORNIA,6,MERCED,47,,SORGHUM - OPERATIONS WITH SALES,11
CALIFORNIA,6,MERCED,47,,"SORGHUM - SALES, MEASURED IN $","1,186,000"
