time,latitude,longitude,tmpsfc,tmp2m,ugrd10m,vgrd10m
UTC,degrees_north,degrees_east,K,K,m s-1,m s-1
2023-01-16T12:00:00Z,30,90,260.76608,262.1364,10.16112,6.0949707
2023-01-16T12:00:00Z,30,95,269.1661,268.7764,-1.0888793,1.1749706
2023-01-16T12:00:00Z,30,100,264.9661,265.5764,1.1411206,4.6449704
2023-01-16T12:00:00Z,30,105,274.9661,275.7664,-1.5788794,-1.2750293
2023-01-16T12:00:00Z,30,110,269.5661,269.6364,-0.3188794,1.0249707
2023-01-16T12:00:00Z,30,115,274.1661,274.1964,0.88112056,-0.2750293
2023-01-16T12:00:00Z,30,120,272.4661,272.7164,-0.8488794,-0.7450293
2023-01-16T12:00:00Z,30,125,287.9661,281.8664,0.3511206,-9.055029
2023-01-16T12:00:00Z,30,130,295.1661,286.5464,3.2311206,-11.265029
2023-01-16T12:00:00Z,35,60,271.8661,273.7964,2.2611206,0.4749707
2023-01-16T12:00:00Z,35,65,260.9661,264.3364,-1.2488793,2.8049707
2023-01-16T12:00:00Z,35,70,257.3661,262.7964,1.0111206,-3.1750293
2023-01-16T12:00:00Z,35,75,240.7661,249.2964,-1.9788793,-0.81502926
2023-01-16T12:00:00Z,35,80,257.1661,256.7264,8.06112,1.7049707
2023-01-16T12:00:00Z,35,85,256.1661,255.5864,2.1211205,-5.9450293
2023-01-16T12:00:00Z,35,90,258.6661,257.9264,6.5111203,-6.685029
2023-01-16T12:00:00Z,35,95,253.06609,254.1664,-4.3088794,-3.595029
2023-01-16T12:00:00Z,35,100,255.86609,256.1064,-0.2588794,-1.4650292
2023-01-16T12:00:00Z,35,105,262.26608,262.7764,0.9011206,-0.06502929
2023-01-16T12:00:00Z,35,110,267.6661,269.4564,3.1711206,0.70497066
2023-01-16T12:00:00Z,35,115,270.3661,271.6864,0.9811206,3.0849707
2023-01-16T12:00:00Z,35,120,279.3661,273.8564,2.0111206,-0.7050293
2023-01-16T12:00:00Z,35,125,282.0661,275.6764,1.1511205,-8.245029
2023-01-16T12:00:00Z,35,130,288.3661,280.5564,0.3411206,-7.645029
2023-01-16T12:00:00Z,40,60,269.6661,269.9064,-3.5088794,-1.1750293
2023-01-16T12:00:00Z,40,65,268.6661,270.3764,0.1511206,-1.9950292
2023-01-16T12:00:00Z,40,70,259.8661,264.8764,-2.4488792,1.6449707
2023-01-16T12:00:00Z,40,75,241.2661,249.0964,2.5511205,-2.1750293
2023-01-16T12:00:00Z,40,80,265.3661,266.2664,3.4811206,1.7549707
2023-01-16T12:00:00Z,40,85,268.26608,267.2864,1.0511206,-0.5750293
2023-01-16T12:00:00Z,40,90,268.5661,269.1264,3.2211206,1.8949707
2023-01-16T12:00:00Z,40,95,259.26608,261.4464,2.6111205,1.9549707
2023-01-16T12:00:00Z,40,100,259.4661,260.6864,10.78112,0.70497066
2023-01-16T12:00:00Z,40,105,259.4661,260.3964,8.52112,-1.4050293
2023-01-16T12:00:00Z,40,110,259.6661,261.5964,7.7611203,-0.32502928
2023-01-16T12:00:00Z,40,115,258.4661,260.7164,3.1911206,1.4749707
2023-01-16T12:00:00Z,40,120,274.1661,271.8064,8.631121,2.9849706
2023-01-16T12:00:00Z,40,125,260.3661,261.0864,0.2011206,-1.2750293
2023-01-16T12:00:00Z,40,130,280.26608,271.5364,-5.988879,2.0449708
2023-01-16T12:00:00Z,45,60,279.0661,274.2364,-9.208879,-0.9950293
2023-01-16T12:00:00Z,45,65,268.0661,268.8264,-6.4788795,-3.3650293
2023-01-16T12:00:00Z,45,70,261.26608,263.7164,-2.9688792,-2.0650291
2023-01-16T12:00:00Z,45,75,258.0661,260.8364,-3.2988794,-1.3250293
2023-01-16T12:00:00Z,45,80,241.4661,250.89641,-0.1488794,1.2649707
2023-01-16T12:00:00Z,45,85,248.2661,251.6164,-1.1788794,-2.1050293
2023-01-16T12:00:00Z,45,90,246.86609,250.9564,-0.048879392,-3.1050293
2023-01-16T12:00:00Z,45,95,252.86609,254.2864,-0.018879395,-0.015029296
2023-01-16T12:00:00Z,45,100,254.2661,256.7364,3.4011204,-4.795029
2023-01-16T12:00:00Z,45,105,254.9661,257.3864,3.8111205,-0.35502928
2023-01-16T12:00:00Z,45,110,256.4661,258.5764,2.6911206,-2.4250293
2023-01-16T12:00:00Z,45,115,250.4661,252.1164,4.5011206,-2.5350292
2023-01-16T12:00:00Z,45,120,255.06609,256.6464,1.7311206,-1.2250292
2023-01-16T12:00:00Z,45,125,255.56609,257.2464,1.3111206,1.6549706
2023-01-16T12:00:00Z,45,130,246.56609,248.8364,0.95112056,1.3649707
2023-01-16T12:00:00Z,50,60,250.4661,255.3564,-1.1588794,-0.035029296
2023-01-16T12:00:00Z,50,65,250.86609,255.8064,-1.1488794,0.5349707
2023-01-16T12:00:00Z,50,70,252.56609,255.8664,2.2211206,0.4249707
2023-01-16T12:00:00Z,50,75,252.2661,255.0564,3.5011206,1.7249707
2023-01-16T12:00:00Z,50,80,257.5661,259.9164,0.6411206,4.7049704
2023-01-16T12:00:00Z,50,85,251.16609,252.9664,-0.3188794,1.2549707
2023-01-16T12:00:00Z,50,90,243.86609,249.7964,2.3011205,-1.7750293
2023-01-16T12:00:00Z,50,95,241.7661,244.7364,-2.4688792,1.3749707
2023-01-16T12:00:00Z,50,100,242.4661,245.8364,2.1711206,0.6649707
